2-215-08062-0;La mer;;Bélineau;Nathalie;Beaumont;Emilie;Ed. Fleurus;2004;57 p.;24 cm;Jeunesse;67,6550254016696;https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/3/3/0/006615330.jpg;Ces petits imagiers ont tout pour plaire : ils tiennent dansla main, ils sont solides (tout carton) et les objets qu'ilsreprésentent sont fabriqués en pâte à modeler, ce quileur confère une rondeur très douce. Ainsi les enfantssont aussi jouffl us que des angelots, tous les animauxsemblent doux comme des agneaux, même leschampignons et les glands de la forêt affi chent leur plus beausourire. C'est bien simple, les enfants adorent et, vu les ventesde chaque exemplaire de la collection, les parents aussi !
2-246-50031-1;In extremis;roman;Morrell;David;;;Grasset;1995;347 p.;23 cm;Adulte;8,79893272281475;https://images-na.ssl-images-amazon.com/images/I/511A4AM0TWL._SX210_.jpg; Les hommes ont de tout temps rapporté des souvenirs similaires d’une expérience aux frontières de la mort. C'est donc que celle-ci, nommée couramment « expérience de mort imminente » ou « EMI », ne tient d'aucune époque ou culture. C'est une expérience commune aux êtres humains, sans distinction. Le voyage commence par une sortie du corps. Puis apparaissent au sujet des réminiscences de souvenirs marquants, parfois oubliés. Il se retrouve ensuite à l’entrée d’un tunnel sombre au bout duquel apparaît une puissante source de lumière vers laquelle il est attiré. Durant cette errance, il ressent un bien‐être paroxystique, l’impression de baigner dans l’amour universel. Enfin, il rejoint la lumière et rencontre des êtres lumineux, des anges, des proches décédés ou Dieu en personne. Parfois, cette expérience est « infernale » et très angoissante.
2-7324-2964-3;Gauchos de Patagonie;;Bourseiller;Philippe;Chaix;Jean-François;La Martinière;2003;132 p.;32 cm;Adulte;16,2938760047073;https://images2.medimops.eu/product/df33f5/M02732429643-large.jpg; La Patagonie, terre d'exil pour les gauchos : ces cavaliers sans attaches et solitaires dont la vie est rythmée par l'élevage et le commerce de la laine, les saisons et le climat. C'est en parcourant ces grands espaces naturels d'Amérique du Sud et en pénétrant dans les estancias qui les jalonnent, que Philippe Bourseiller, l'auteur Tees Volcans et des Hommes et de Voyage dans les glaces, nous dessine avec une extrême sensibilité, le portrait de ces hommes luttant pour préserver un mode de vie unique, aux coutumes ancestrales, sur une terre où la nature est reine. Steppe à perte de vue, forêts, lacs : la Patagonie s'impose dans la démesure. C'est à ce pays encore méconnu et à ces habitants fascinant que le photographe rend ici hommage. 
2-7427-4845-8;cahier jaune (Le);;Sautereau;François;;;Actes Sud junior;2004;1 vol. (213 p.);18 x 13 cm;Jeunesse;79,3056388926115;https://images-na.ssl-images-amazon.com/images/I/417M8T8H4BL._SX242_BO1,204,203,200_.jpg;Un vieux clochard évoque le Paris des Halles, du début du siècle à la Première Guerre mondiale. D'étranges personnages, les ouvriers du quartier et des vagabonds se pressent autour du Boeuf Limousin. Tous sont fascinés par la légende des compagnons de la Croix du sud dont le trésor serait enfoui dans une cave. Certains sont prêts à tout pour le retrouver.
2-84565-735-8;Rufus le loup;;Tarek;;Morinière;Aurélien;Soleil;2004;31 p.;33 cm;Jeunesse;77,3609671591494;https://static.fnac-static.com/multimedia/images_produits/ZoomPE/6/0/3/9782848102306/tsp20130901144317/Rufus-le-loup.jpg;"Un malheureux loup vient confier un "" lourd secret "" à l'espiègle Irial : un ogre terrifiant, âme damnée du chaperon rouge, retient dans sa cave des grands-mères. Vite, il faut les délivrer ! En détournant les conventions du conte traditionnel, le scénariste Tarek et le dessinateur Morinière réalisent un récit moderne et humoristique qui peut se lire à tous les âges. Rires garantis."
2-84755-055-0;Le chêne parlant;;Sand;George;;;Saint-Mont;DL 2004;1 vol. (67 p.);10 x 14 cm;Jeunesse;8,37887941365085;https://images-na.ssl-images-amazon.com/images/I/513+C2ugq9L._SY344_BO1,204,203,200_.jpg; Le petit Emmi n’a vraiment pas de chance. Personne ne l’aime, il n’a pas d’amis, il est maltraité par sa tante et brutalisé par le fermier, et il déteste les cochons que la misère l’oblige à garder. Mais, un jour que ces vilaines bêtes tentent de le dévorer, Emmi trouve refuge dans un arbre de la forêt, un vieux chêne effrayant dont on prétend qu’il parle. Et cette rencontre extraordinaire va transformer sa vie à jamais.Figure intellectuelle du xixe siècle, George Sand célèbre, sous la forme d’un conte merveilleux initiatique, la communion essentielle de l’homme avec cette nature qu’il a trop longtemps négligée.
2-84789-206-0;Contes et récits vietnamiens;;Minh Than;;;;Delcourt jeunesse;2004;31 p.;30 cm;Jeunesse;42,6776267614544;https://fr.shopping.rakuten.com/photo/Minh-Than-Contes-Et-Recits-Vietnamiens-Livre-1956557807_L.jpg;À travers six contes judicieusement choisis, l'enfant est porté par la poésie des mots et se sensibilise aux coutumes, pratiques et croyances du Vietnam. Chaque conte est porteur d'une douce morale et délivre des messages universels : garder son âme d'enfant, croire en ses rêves, respecter l'autre, être fidèle en amitié, etc. 
2-84789-218-4;Radio Nouba;;Bonneval;Gwen de;;;Delcourt jeunesse;2004;31 p.;30 cm;Jeunesse;44,0214756653944;https://images.epagine.fr/185/9782847892185_1_75.jpg;A l'école, Colette, une nouvelle venue, sème la zizanie dans le groupe à grands coups de mensonges éhontés. A la maison, les parents de Basile sont divorcés et ça n'est pas toujours facile d'accepter la présence de Jacques, le nouvel ami de maman.
2-85157-245-8;Tableautins;;Bruch;Marie-Anne;;;Lanore;2004;63 p.;19 cm;Adulte;31,4937304682059;https://media.electre-ng.com/images/image-id/bba80dff3e31b831fd57518ba4cd8784cdb0c6731354c75a53de208c4484f1fb.jpg;"Le recueil ""tableautins"", a reçu le Prix Arthur Rimbaud en 1996. Ce prix, délivré par la Maison de Poésie et le Ministère de la Jeunesse et des Sports, est considéré par le guide Cartier des Prix et Concours littéraires, comme l'un des meilleurs consacré à la poésie. ""Tableautins"" est suivi d'un recueil composé de textes plus récents, intitulé : ""des limbes au jour"". "
2-87730-707-7;Transgression;roman;Khan;Uzma Aslam;;;P. Picquier;2004;541 p.;21 cm;Adulte;48,3528002953273;https://images-na.ssl-images-amazon.com/images/I/41IbzLnUMlL._SX319_BO1,204,203,200_.jpg; Uzma Khan a écrit le roman du Pakistan. Elle dresse la carte d'un pays déchiré où ses personnages cherchent passionnément à conquérir un espace où rêver, choisir, aimer. Comme Dia, prise entre l'image d'un père torturé et assassiné et l'exemple d'une mère chef d'entreprise dans un monde où les femmes, traditionnellement, restent dans l'ombre. Ou Daanish qui, après trois ans passés aux Etats-Unis, ne trouve plus sa place dans un pays où règnent la corruption et les émeutes et où l'on est toujours l'étranger de quelqu'un d'autre. Ou encore Salaamat, en butte au mépris des Pendjabis et des Pathans, découvrant dans la décoration des bus sillonnant la ville une compensation aux humiliations qu'il subit, avant de devenir bourreau à son tour. Dans ce roman foisonnant et violent, traversé pourtant de moments d'une beauté rédemptrice, chacun cherche une voie pour survivre, vivre, devenir ce qu'il croit être le plus important pour lui. Mais comment échapper à la loi sociale sans transgresser ? 
2-913288-23-5;Les chevêches aux yeux d'or;;Haroux-Métayer;Eliane;Bertrand;Bernard;Ed. de Terran;2002;44 p.;21 x 23 cm;Jeunesse;54,1791312300467;https://static.fnac-static.com/multimedia/Images/FR/NR/7c/8d/14/1346940/1507-1/tsp20201216071657/Les-cheveches-aux-yeux-d-or.jpg; Athena et Plume-au-vent sont deux jeunes chouettes chevêches généreuses… Elles cherchent un lieu où s’installer... 
2-940334-28-5;Richard et William sauvent le monde;;Rod;;;;Paquet;2004;48 p.;31 x 22 cm;Adulte;63,1875574864729;https://www.planetebd.com/dynamicImages/album/cover/large/75/album-cover-large-752.jpg; Mureder et Scoty sont virés du FBI. Richard et William, deux amis de Murder, l'accompagnent chez Scoty qui n'a pas le moral. On le serait à moins, enceinte d'un monstre et au chômage ! Murder part chercher des pizzas, il ne reviendra pas. Inquiets, Richard et William partent à sa recherche mais se retrouvent impliqués dans une étrange aventure... 
2-940349-00-2;légistes enquêtent (Les);;Pfeiffer;Hans;;;Scènes de crimes;2004;302 p.;21 x 14 cm;Adulte;36,0254203768523;https://products-images.di-static.com/image/hans-pfeiffer-les-legistes-enquetent/9782940349005-475x500-1.webp; Nos auteurs n'ont pas d'imagination, ils ne font que vous raconter des Histoires vraies dans lesquelles l'argent, le pouvoir, la perversion, la passion et la folie mènent des hommes et des femmes à commettre des actes irréversibles qui vous plongeront dans l'horreur et vous frissonnerez de terreur bien longtemps après la dernière ligne. Cette partie de la science est l'une des moins connues par le grand public. Toutes les disciplines en font partie. Aujourd'hui la génétique permet de reprendre et d'élucider des cas qui depuis des années restaient non résolus et même d'innocenter de faux coupables. Aux Etats-Unis des prisonniers. condamnés à mort ont été blanchis et les responsables enfermés. L'histoire des trois os, nous rapporte comment un médecin légiste du début du XXe siècle a résolu un meurtre à partir de trois fragments d'os. Le poison, forme de meurtre souvent employée, car indécelable, ne l'est plus actuellement grâce aux nouvelles techniques d'analyse. En fait les légistes font raconter aux corps leur dernière histoire afin de ne pas laisser leur mort impunie. 
978-1-4454-3923-5;Nous les garçons !;de l'enfance à l'adolescence;Crossick;Matt;;;Parragon;2011;1 vol. (96 p.);20 x 17 cm;Jeunesse;52,9849376751647;https://images-na.ssl-images-amazon.com/images/I/61aEfB+MpYL.jpg; Parce que la préadolescence est rarement une période facile à vivre, ce guide est conçu pour répondre à toutes les questions des garçons de 9-13 ans sur le corps et ses transformations, l'amitié, l'amour, le collège, la famille, les loisirs. En 208 pages : des témoignages de préados, des tests, des solutions pratiques aux problèmes rencontrés à cet âge, des conseils d'experts, des actions écocitoyennes à la portée de tous... 
978-1-4454-3924-2;Nous les filles !;de l'enfance à l'adolescence;Delmege;Sarah;;;Parragon;2011;1 vol. (96 p.);20 x 17 cm;Jeunesse;40,7160882682096;https://images-na.ssl-images-amazon.com/images/I/61p3JS5chsL.jpg; Grandir n'est pas aussi facile que cela ! Ce livre t'aidera à mieux comprendre les changements qui bouleversent ton corps au moment de la puberté. Un guide aux explications claires, enrichis de schémas, de conseils et de témoignages, à lire d'un bout à l'autre ou à consulter selon ses besoins. 
978-2-01-201748-1;La boussole du Club des cinq;;Blyton;Enid;;;Hachette jeunesse;DL 2009;1 vol. (189 p.);18 cm;Jeunesse;27,5546889197212;https://images2.medimops.eu/product/a33679/M02012017487-large.jpg; Pas possible ! Le père de Claude a invité un ami savant à travailler avec lui à Kernach pendant les vacances... et voilà le Club des Cinq mis à la porte de la Villa des Mouettes ! Qu’à cela ne tienne : François, Claude, Mick et Annie iront s’installer dans le vieux phare abandonné du cap des Tempêtes. Là, au moins, ils ne dérangeront personne ! Personne, vraiment ? Alors pourquoi les sacs des jeunes vacanciers ont-ils été fouillés ? Et qui a volé la clé du vieux phare ? Il y a de quoi perdre la boussole... 
978-2-01-292114-6;Dis pourquoi le cochon a la queue en tire-bouchon ?;;Mathivet;Eric;;;Hachette jeunesse;DL 2011;1 vol. (192 p.);24 cm;Jeunesse;16,917879879888;https://products-images.di-static.com/image/eric-mathivet-dis-pourquoi-le-cochon-a-la-queue-en-tire-bouchon/9782012921146-475x500-1.jpg;"Pourquoi dit-on ""avoir une taille de guêpe"" ? Pourquoi les flamants sont-ils roses ? Pourquoi les serpents n'ont-ils pas de pattes ? Cet ouvrage réunit 365 questions-réponses pour découvrir les animaux : les mignons, les féroces, les sportifs, les disparus, etc. Un livre pour tous les enfants qui aiment apprendre en s'amusant ! "
978-2-01-292152-8;ABC d'Albert Jacquard pour changer le monde (L');;Jacquard;Albert;;;Hachette jeunesse;impr. 2013;1 vol. (62 p.);23 cm;Jeunesse;69,0923811022252;https://images-na.ssl-images-amazon.com/images/I/411O29z-LEL._SX357_BO1,204,203,200_.jpg;Albert Jacquard, scientifique reconnu et engagé, livre sa définition d’une trentaine de mots : Autre, Bombe, Censure, Clonage, Dette, Dieu, École, Internet, Mondialisation, Mort, Race, Utopie, Vérité... Cet entretien invite tous les adolescents à la réflexion personnelle et à l’action : « Continuez à vous scandaliser ! Et surtout dites-le ! Réagissez, à chaque occasion ! (...) Changer le monde est possible ! Mais ça dépend de vous ! » 
978-2-01-322396-6;Emile et les détectives;;Kästner;Erich;;;Le livre de poche jeunesse;2007;1 vol. (221 p.);18 x 13 cm;Jeunesse;64,3323253200974;https://images2.medimops.eu/product/a0c034/M02012202284-large.jpg;Alors qu'il prend le train seul pour la première fois, Émile se fait voler l'argent que sa maman lui a confié. Heureusement, il rencontre très vite de nouveaux copains à Berlin, qui ont le génie de l'organisation. Entre l'infortuné voyageur et ses amis, c'est le début d'une drôle d'aventure : le voleur ne sait pas ce qui l'attend ! 
978-2-01-322840-4;Jeanne;;Cassabois;Jacques;;;le Livre de poche jeunesse;DL 2010;1 vol. (283 p.);18 cm;Jeunesse;36,7644791127872;https://static.fnac-static.com/multimedia/Images/FR/NR/10/b1/2c/2928912/1540-1/tsp20160830114625/Jeanne.jpg;Personnage emblématique de l'histoire de France, Jeanne d'Arc était avant tout une jeune fille de dix-sept ans. Sa fabuleuse épopée se déroule entre 1429 et 1430, et va bouleverser le royaume de France. En deux ans, Jeanne fait sacrer un roi, repousse les Anglais, ravive la confiance d'un peuple tout entier. Comment ? Jacques Cassabois fait parler sa foi inébranlable, son courage à l'épreuve de toute douleur, son audace à une époque où les femmes n'avaient pas voix au chapitre, son génie de chef de guerre. Inspirée, sainte, visionnaire ? Jeanne était d'abord un être d'exception, traversant chaque instant avec toute son énergie et son amour de vivre.
978-2-02-081845-2;Une histoire de la violence;de la fin du Moyen âge à nos jours;Muchembled;Robert;;;Ed. du Seuil;DL 2008;1 vol. (498 p.);24 cm;Adulte;26,8875534403828;https://fr.shopping.rakuten.com/photo/une-histoire-de-la-violence-de-la-fin-du-moyen-age-a-nos-jours-format-poche-1944276308_L.jpg; L'actualité place la violence sur le devant de la scène. Thème cher aux sociologues et aux politiques, elle est aussi un objet d'histoire. À rebours du sentiment dominant, Robert Muchembled montre que la brutalité et l'homicide sont en baisse constante depuis le XIIIe siècle.  Un contrôle social de plus en plus étroit des adolescents mâles et célibataires, doublé d'une éducation coercitive des mêmes classes d'âges, peut expliquer cette régression de l'agressivité. Peu à peu, la violence masculine disparaît de l'espace public pour se concentrer dans la sphère domestique, tandis que la littérature populaire se voit chargée d'un rôle cathartique. L'Europe occidentale actuelle enregistre en moyenne cent fois moins de meurtres qu'il y a sept siècles.
978-2-02-099246-6;Au pays des vermeilles;;Châtelet;Noëlle;;;Seuil;DL 2009;1 vol. (171 p.);21 cm;Adulte;53,8834487758271;https://images2.medimops.eu/product/adb1cb/M02757820168-large.jpg;L'entrée dans la grand-maternité, encore une métamorphose dans une vie de femme. Mais quelle est donc la relation d'amour si particulière qui unit une grand-mère et l'enfant de l'enfant ?  Un récit sur le temps et la transmission. Une manière surtout de retrouver le jardin perdu de sa propre enfance, les souvenirs d'avant les souvenirs. Une traversée du miroir à la manière d'une certaine Alice.
978-2-02-100538-7;Déchets;le cauchemar du nucléaire;Noualhat;Laure;;;Seuil;DL 2009;1 vol. (209 p.);21 cm;Adulte;52,2774262679341;https://products-images.di-static.com/image/laure-noualhat-dechets/9782021005387-475x500-1.jpg;"Savez-vous qu'il n'y a pas eu un mais plusieurs Tchernobyl? Que les sites contaminés dans le passé le resteront pendant plusieurs millénaires, défiant par là l'imagination humaine? Savez-vous enfin que le retraitement n'existe pratiquement pas dans les faits et que l'industrie nucléaire vous le cache parce qu'elle ne sait pas faire ""propre""?"
978-2-03-584660-0;La fin des dinosaures;;Bacchin;Matteo;Signore;Marco;Larousse;impr. 2010;1 vol. (239 p.);32 cm;Jeunesse;56,2405068413637;https://images-na.ssl-images-amazon.com/images/I/51-7-XrvmpL.jpg;La disparition des dinosaures, il y a 65 millions d'années, peut-elle encore être considérée comme l'un des grands mystères de l'histoire du monde vivant ? Tout porte à croire aujourd'hui qu'ils ont été, de même que bien d'autres espèces, les victimes d'une catastrophe écologique mondiale provoquée par la collision avec la Terre, à la limite Crétacé-Tertiaire, d'une énorme météorite. La mise en évidence de cet impact et de ses conséquences sur la biosphère nous conduit à réfléchir sur le rôle des catastrophes, cosmiques ou autres, dans l'histoire de notre planète et de ses habitants. La question de l'extinction des espèces se pose en effet aux paléontologues depuis plus de deux siècles. Des révolutions du globe de Cuvier à la concurrence vitale de Darwin en passant par la dégénérescence et la sénilité raciale, les réponses qu'ils ont tenté d'y apporter n'ont pas manqué. Ce n'est que depuis une vingtaine d'années, grâce notamment aux recherches sur la fin des dinosaures, que le concept d'extinction en masse - qui suppose de grandes crises ayant décimé le monde vivant et infléchi son évolution - s'est imposé. Ainsi, l'histoire de la vie n'est pas un long fleuve tranquille. Son cours a été altéré brutalement, à plusieurs reprises, par des événements catastrophiques qui ont anéanti d'innombrables espèces. Mais le monde que nous connaissons n'a-t-il pas justement été modelé par ces catastrophes ? 
978-2-07-012620-0;Les arrangeurs;roman;Tellier-Loniewski;Laurence;;;Gallimard;impr. 2009;1 vol. (270 p.);21 cm;Adulte;22,3220095853146;https://images-na.ssl-images-amazon.com/images/I/71xCxOG9G1L.jpg;Aux abords de l'été, nous traversâmes une ère de turbulences. Un épisode maussade, émaillé de giboulées et fortes chutes de température, s'installa durablement, balayant les promesses d'un printemps précoce. La vague de chaleur soudaine qui y mit fin nous anéantit par son intensité. À peine nos organismes chamboulés eurent-ils développé quelques défenses que les bourrasques revenaient en force, charriant un air acide pulvérisé de pollen, qui rendait fou.
978-2-07-061225-3;Griffes de glace;;Gilman;David;;;Gallimard jeunesse;DL 2009;1 vol. (461 p.);22 cm;Jeunesse;15,5319354486283;https://www.gallimard-jeunesse.fr/assets/media/cache/cover_medium/gallimard_img/image/A61228.jpg; L'écho d'un grondement sourd se propage dans les montagnes. Le défi sportif que Max Gordon est venu relever au challenge X-treme se change en une course folle pour la survie. La sienne. On l'accuse de meurtre, et tous les indices l'accablent La chasse à l'homme s'engage... Au seuil de la mort, un étrange moine va lui faire une révélation et le plonger au coeur d'un ancien secret : la prédiction d'un cataclysme qui va causer la mort de milliers de gens et détruire l'équilibre écologique de l'Europe tout entière. Max peut-il prouver son innocence quand personne ne lui fait confiance ? Et lui, à qui peut-il se fier ? Mais surtout parviendra-t-il à empêcher le drame à temps ? 
978-2-08-128917-8;Un amour impossible;;Angot;Christine;;;Flammarion;DL 2015;1 vol. (216 p.);21 cm;Adulte;28,7477730345081;https://images2.medimops.eu/product/418f84/M02081289172-large.jpg; Pierre et Rachel vivent une liaison courte mais intense à Châteauroux à la fin des années 1950. Pierre, érudit, issu d'une famille bourgeoise, fascine Rachel, employée à la Sécurité sociale. Il refuse de l'épouser, mais ils font un enfant. L'amour maternel devient pour Rachel et Christine le socle d'une vie heureuse. Pierre voit sa fille épisodiquement. Des années plus tard, Rachel apprend qu'il la viole. Le choc est immense. Un sentiment de culpabilité s'immisce progressivement entre la mère et la fille. Christine Angot entreprend ici de mettre à nu une relation des plus complexes, entre amour inconditionnel pour la mère et ressentiment, dépeignant sans concession une guerre sociale amoureuse et le parcours d'une femme, détruite par son péché originel : la passion vouée à l'homme qui aura finalement anéanti tous les repères qu'elle s'était construits. 
978-2-08-134387-0;exercice de la médecine (L');roman;Seksik;Laurent;;;Flammarion;DL 2015;1 vol. (339 p.);21 cm;Adulte;33,7695756809464;http://www.lalibrairieducours.fr/wp-content/uploads/2011/12/lexercice-de-la-m%C3%A9decine.jpg;Léna Kotev est cancérologue à Paris. Dans sa famille, on est médecin de génération en génération : Pavel Alexandrovitch exerçait dans la Russie tsariste, Mendel fut professeur dans le Berlin des années 1920, Natalia fut victime, sous Staline, de l’affaire du Complot des Blouses blanches. Loin des combats de ses glorieux aïeux, Léna rêve de se soustraire à la légende familiale. Mais peut-on échapper à son destin ? Inscrits dans une mythologie qui les dépasse, les Kotev ont vocation à donner un sens à l’Histoire autant qu’à toute vie sauvée. Comme dans ses précédents romans, Laurent Seksik entremêle les destinées et les époques. Autour du choix de Léna se tisse la chronique d’une famille de médecins juifs dans un roman qui célèbre la noblesse de guérir et le refus de la fatalité.
